model,family,size_b,arch,tier,corpus,primitive,ca,acc_target,acc_retain,log_params
granite-3.0-8b,IBM,8.0,Dense Transformer,7-9B,null_cc,Null,0.0698,0.9811,0.9113,9.903089986991944
granite-3.0-8b,IBM,8.0,Dense Transformer,7-9B,spl_cc,Math,0.6225,0.6225,0.0,9.903089986991944
granite-3.0-8b,IBM,8.0,Dense Transformer,7-9B,stp_cc,Spatial,0.0973,0.3732,0.2759,9.903089986991944
granite-3.0-8b,IBM,8.0,Dense Transformer,7-9B,str_cc,Strategic,0.4829,0.9258,0.4429,9.903089986991944
granite-3.0-8b,IBM,8.0,Dense Transformer,7-9B,tom_cc,ToM,0.1898,0.5136,0.3238,9.903089986991944
granite-3.1-2b,IBM,2.0,Dense Transformer,1.7-3.8B,ctr_cc,Causal,0.2154,0.8767,0.6613,9.301029995663981
granite-3.1-2b,IBM,2.0,Dense Transformer,1.7-3.8B,mor_cc,Moral,0.0481,0.3551,0.307,9.301029995663981
granite-3.1-2b,IBM,2.0,Dense Transformer,1.7-3.8B,null_cc,Null,0.0353,0.7583,0.723,9.301029995663981
granite-3.1-2b,IBM,2.0,Dense Transformer,1.7-3.8B,spl_cc,Math,0.4601,0.4601,0.0,9.301029995663981
granite-3.1-2b,IBM,2.0,Dense Transformer,1.7-3.8B,stp_cc,Spatial,0.2043,0.5574,0.353,9.301029995663981
granite-3.1-2b,IBM,2.0,Dense Transformer,1.7-3.8B,str_cc,Strategic,0.5171,0.8671,0.35,9.301029995663981
granite-3.1-2b,IBM,2.0,Dense Transformer,1.7-3.8B,tom_cc,ToM,0.1695,0.3392,0.1696,9.301029995663981
granite-3.1-8b,IBM,8.0,Dense Transformer,7-9B,core_math,Proof,-0.033,0.9538,0.9868,9.903089986991944
granite-3.1-8b,IBM,8.0,Dense Transformer,7-9B,ctr_cc,Causal,0.122,0.9334,0.8114,9.903089986991944
granite-3.1-8b,IBM,8.0,Dense Transformer,7-9B,mor_cc,Moral,0.2427,0.5646,0.3219,9.903089986991944
granite-3.1-8b,IBM,8.0,Dense Transformer,7-9B,null_cc,Null,0.0502,0.9754,0.9252,9.903089986991944
granite-3.1-8b,IBM,8.0,Dense Transformer,7-9B,spl_cc,Math,0.6145,0.6145,0.0,9.903089986991944
granite-3.1-8b,IBM,8.0,Dense Transformer,7-9B,stp_cc,Spatial,0.1288,0.3596,0.2308,9.903089986991944
granite-3.1-8b,IBM,8.0,Dense Transformer,7-9B,str_cc,Strategic,0.467,0.9291,0.4621,9.903089986991944
granite-3.1-8b,IBM,8.0,Dense Transformer,7-9B,tom_cc,ToM,0.1813,0.5131,0.3318,9.903089986991944
llama-3-70b,Meta,70.0,Dense Transformer,27-72B,ctr_cc,Causal,0.1696,0.896,0.7264,10.845098040014257
llama-3-70b,Meta,70.0,Dense Transformer,27-72B,mor_cc,Moral,0.1318,0.319,0.1872,10.845098040014257
llama-3-70b,Meta,70.0,Dense Transformer,27-72B,spl_cc,Math,0.699,0.699,0.0,10.845098040014257
llama-3-70b,Meta,70.0,Dense Transformer,27-72B,stp_cc,Spatial,0.1338,0.4282,0.2945,10.845098040014257
llama-3-70b,Meta,70.0,Dense Transformer,27-72B,tom_cc,ToM,0.2298,0.437,0.2072,10.845098040014257
llama-3-8b,Meta,8.0,Dense Transformer,7-9B,ctr_cc,Causal,0.229,0.7761,0.5471,9.903089986991944
llama-3-8b,Meta,8.0,Dense Transformer,7-9B,mor_cc,Moral,0.1242,0.2435,0.1193,9.903089986991944
llama-3-8b,Meta,8.0,Dense Transformer,7-9B,null_cc,Null,0.0987,0.8948,0.7962,9.903089986991944
llama-3-8b,Meta,8.0,Dense Transformer,7-9B,spl_cc,Math,0.6395,0.6395,0.0,9.903089986991944
llama-3-8b,Meta,8.0,Dense Transformer,7-9B,stp_cc,Spatial,0.1804,0.4329,0.2525,9.903089986991944
llama-3-8b,Meta,8.0,Dense Transformer,7-9B,str_cc,Strategic,0.3859,0.5494,0.1636,9.903089986991944
llama-3-8b,Meta,8.0,Dense Transformer,7-9B,tom_cc,ToM,0.1934,0.3615,0.1681,9.903089986991944
llama-3.1-8b-instruct,Meta,8.0,Dense Transformer (Instruct),7-9B,core_math,Proof,-0.0706,0.9232,0.9938,9.903089986991944
llama-3.1-8b-instruct,Meta,8.0,Dense Transformer (Instruct),7-9B,ctr_cc,Causal,0.1258,0.9511,0.8253,9.903089986991944
llama-3.1-8b-instruct,Meta,8.0,Dense Transformer (Instruct),7-9B,mor_cc,Moral,0.1542,0.6295,0.4754,9.903089986991944
llama-3.1-8b-instruct,Meta,8.0,Dense Transformer (Instruct),7-9B,null_cc,Null,0.0374,0.9865,0.9491,9.903089986991944
llama-3.1-8b-instruct,Meta,8.0,Dense Transformer (Instruct),7-9B,spl_cc,Math,0.6704,0.6704,0.0,9.903089986991944
llama-3.1-8b-instruct,Meta,8.0,Dense Transformer (Instruct),7-9B,stp_cc,Spatial,0.2434,0.3716,0.1282,9.903089986991944
llama-3.1-8b-instruct,Meta,8.0,Dense Transformer (Instruct),7-9B,str_cc,Strategic,0.4359,0.7871,0.3511,9.903089986991944
llama-3.1-8b-instruct,Meta,8.0,Dense Transformer (Instruct),7-9B,tom_cc,ToM,0.1934,0.54,0.3466,9.903089986991944
llama-3.2-1b,Meta,1.0,Dense Transformer,1.7-3.8B,core_math,Proof,-0.2357,0.1077,0.3435,9.0
llama-3.2-1b,Meta,1.0,Dense Transformer,1.7-3.8B,ctr_cc,Causal,0.3853,0.5862,0.2009,9.0
llama-3.2-1b,Meta,1.0,Dense Transformer,1.7-3.8B,mor_cc,Moral,0.0364,0.0909,0.0545,9.0
llama-3.2-1b,Meta,1.0,Dense Transformer,1.7-3.8B,null_cc,Null,0.2236,0.5807,0.3571,9.0
llama-3.2-1b,Meta,1.0,Dense Transformer,1.7-3.8B,spl_cc,Math,0.5734,0.5734,0.0,9.0
llama-3.2-1b,Meta,1.0,Dense Transformer,1.7-3.8B,stp_cc,Spatial,0.1378,0.2469,0.1091,9.0
llama-3.2-1b,Meta,1.0,Dense Transformer,1.7-3.8B,str_cc,Strategic,0.4716,0.513,0.0414,9.0
llama-3.2-1b,Meta,1.0,Dense Transformer,1.7-3.8B,tom_cc,ToM,0.1205,0.1478,0.0273,9.0
