model,family,size_b,arch,tier,ToM_CA,Causal_CA,Moral_CA,Strategic_CA,Spatial_CA,Null_CA,Math_CA,Proof_CA,ToM_target,Causal_target,Moral_target,Strategic_target,Spatial_target,Null_target,Math_target,Proof_target,ToM_retain,Causal_retain,Moral_retain,Strategic_retain,Spatial_retain,Null_retain,Math_retain,Proof_retain
qwen-2.5-1.5b,Alibaba,1.5,Dense Transformer,1.7-3.8B,0.0538,0.4203,0.0003,0.4212,0.0905,0.2777,0.0423,-0.2854,0.1036,0.5767,0.0125,0.5163,0.3784,0.3851,0.0423,0.1455,0.0498,0.1564,0.0122,0.0951,0.2879,0.1074,0.0,0.431
qwen-2.5-14b,Alibaba,14.0,Dense Transformer,12-14B,0.0629,0.1019,0.1955,0.3777,0.1794,-0.0061,0.7185,,0.5461,0.9694,0.673,0.9523,0.3157,0.9837,0.7185,,0.4832,0.8675,0.4776,0.5746,0.1363,0.9898,0.0,
qwen-2.5-14b-instruct,Alibaba,14.0,Dense Transformer (Instruct),12-14B,0.0127,0.0429,0.0934,0.1981,0.3032,0.4526,0.5793,,0.6509,0.9916,0.6495,0.9926,0.4262,0.7809,0.5793,,0.6382,0.9487,0.5561,0.7945,0.123,0.3283,0.0,
qwen-2.5-32b-instruct-awq,Alibaba,32.0,"Dense Transformer (Instruct, AWQ Int4)",27-72B,0.066,0.0444,0.0486,0.2834,0.2468,0.2207,0.6116,,0.6748,0.9905,0.7614,0.9873,0.3921,0.8637,0.6116,,0.6088,0.9462,0.7128,0.7039,0.1453,0.643,0.0,
qwen-2.5-3b,Alibaba,3.0,Dense Transformer,1.7-3.8B,0.0851,0.2114,0.1532,0.515,0.1523,0.1245,0.6786,-0.1551,0.3659,0.9232,0.4024,0.7398,0.3414,0.891,0.6786,0.8318,0.2807,0.7118,0.2493,0.2248,0.189,0.7665,0.0,0.9869
qwen-2.5-7b,Alibaba,7.0,Dense Transformer,7-9B,0.1417,0.1531,0.1325,0.4189,0.1745,0.4501,0.6834,-0.0294,0.47,0.947,0.5238,0.7825,0.3534,0.9229,0.6834,0.9673,0.3283,0.7939,0.3913,0.3636,0.1788,0.4728,0.0,0.9966
smollm-1.7b,HuggingFace,1.7,Dense Transformer,1.7-3.8B,0.0711,0.3595,0.0592,0.3561,0.1998,0.2319,0.4134,-0.1145,0.1178,0.6659,0.1622,0.515,0.2909,0.8667,0.4134,0.2586,0.0467,0.3064,0.1029,0.1588,0.0911,0.6348,0.0,0.3731
smollm-360m,HuggingFace,0.36,Dense Transformer,<1B,0.0574,0.2938,0.0741,0.3704,0.0889,0.3063,0.2191,,0.0812,0.4441,0.1257,0.4411,0.1108,0.5995,0.2191,,0.0238,0.1502,0.0516,0.0706,0.0219,0.2931,0.0,
yi-1.5-34b,01.AI,34.0,Dense Transformer,27-72B,0.1874,0.1659,0.1322,0.3504,0.1941,0.0318,0.7213,,0.7161,0.9289,0.3991,0.9159,0.4262,0.8263,0.7213,,0.5287,0.7629,0.2669,0.5655,0.2321,0.7945,0.0,
yi-1.5-34b-chat,01.AI,34.0,Dense Transformer (Instruct),27-72B,0.1702,0.0612,0.0528,0.3255,0.2239,-0.028,0.7032,,0.549,0.9887,0.539,0.9722,0.3961,0.5542,0.7032,,0.3789,0.9274,0.4862,0.6467,0.1722,0.5822,0.0,
yi-1.5-9b,01.AI,9.0,Dense Transformer,7-9B,0.1841,0.1804,0.2051,0.4148,0.2507,-0.2047,0.7054,,0.3916,0.8145,0.514,0.8275,0.4783,0.6951,0.7054,,0.2074,0.6341,0.3089,0.4127,0.2277,0.8998,0.0,
