model,family,size_b,arch,tier,corpus,primitive,ca_raw,delta,ca_corrected
granite-3.1-2b,IBM,2.0,Dense Transformer,1.7-3.8B,str_cc,Strategic,0.5171,0.220,0.2971
granite-3.1-2b,IBM,2.0,Dense Transformer,1.7-3.8B,tom_cc,ToM,0.1695,0.140,0.0295
granite-3.1-8b,IBM,8.0,Dense Transformer,7-9B,ctr_cc,Causal,0.1220,0.160,-0.0380
granite-3.1-8b,IBM,8.0,Dense Transformer,7-9B,mor_cc,Moral,0.2427,0.000,0.2427
granite-3.1-8b,IBM,8.0,Dense Transformer,7-9B,null_cc,Null,0.0502,0.700,-0.6498
granite-3.1-8b,IBM,8.0,Dense Transformer,7-9B,stp_cc,Spatial,0.1288,0.000,0.1288
granite-3.1-8b,IBM,8.0,Dense Transformer,7-9B,str_cc,Strategic,0.4670,0.220,0.2470
granite-3.1-8b,IBM,8.0,Dense Transformer,7-9B,tom_cc,ToM,0.1813,0.140,0.0413
llama-3-70b,Meta,70.0,Dense Transformer,27-72B,ctr_cc,Causal,0.1696,0.160,0.0096
llama-3-70b,Meta,70.0,Dense Transformer,27-72B,mor_cc,Moral,0.1318,0.000,0.1318
llama-3-70b,Meta,70.0,Dense Transformer,27-72B,stp_cc,Spatial,0.1338,0.000,0.1338
llama-3-70b,Meta,70.0,Dense Transformer,27-72B,tom_cc,ToM,0.2298,0.140,0.0898
llama-3-8b,Meta,8.0,Dense Transformer,7-9B,ctr_cc,Causal,0.2290,0.160,0.0690
llama-3-8b,Meta,8.0,Dense Transformer,7-9B,mor_cc,Moral,0.1242,0.000,0.1242
llama-3-8b,Meta,8.0,Dense Transformer,7-9B,null_cc,Null,0.0987,0.700,-0.6013
llama-3-8b,Meta,8.0,Dense Transformer,7-9B,stp_cc,Spatial,0.1804,0.000,0.1804
llama-3-8b,Meta,8.0,Dense Transformer,7-9B,str_cc,Strategic,0.3859,0.220,0.1659
llama-3-8b,Meta,8.0,Dense Transformer,7-9B,tom_cc,ToM,0.1934,0.140,0.0534
llama-3.1-8b-instruct,Meta,8.0,Dense Transformer (Instruct),7-9B,ctr_cc,Causal,0.1258,0.160,-0.0342
llama-3.1-8b-instruct,Meta,8.0,Dense Transformer (Instruct),7-9B,mor_cc,Moral,0.1542,0.000,0.1542
llama-3.1-8b-instruct,Meta,8.0,Dense Transformer (Instruct),7-9B,null_cc,Null,0.0374,0.700,-0.6626
llama-3.1-8b-instruct,Meta,8.0,Dense Transformer (Instruct),7-9B,stp_cc,Spatial,0.2434,0.000,0.2434
llama-3.1-8b-instruct,Meta,8.0,Dense Transformer (Instruct),7-9B,str_cc,Strategic,0.4359,0.220,0.2159
llama-3.1-8b-instruct,Meta,8.0,Dense Transformer (Instruct),7-9B,tom_cc,ToM,0.1934,0.140,0.0534
llama-3.2-1b,Meta,1.0,Dense Transformer,1.7-3.8B,ctr_cc,Causal,0.3853,0.160,0.2253
llama-3.2-1b,Meta,1.0,Dense Transformer,1.7-3.8B,mor_cc,Moral,0.0364,0.000,0.0364
llama-3.2-1b,Meta,1.0,Dense Transformer,1.7-3.8B,null_cc,Null,0.2236,0.700,-0.4764
llama-3.2-1b,Meta,1.0,Dense Transformer,1.7-3.8B,stp_cc,Spatial,0.1378,0.000,0.1378
llama-3.2-1b,Meta,1.0,Dense Transformer,1.7-3.8B,str_cc,Strategic,0.4716,0.220,0.2516
llama-3.2-1b,Meta,1.0,Dense Transformer,1.7-3.8B,tom_cc,ToM,0.1205,0.140,-0.0195
llama-3.2-3b,Meta,3.0,Dense Transformer,1.7-3.8B,ctr_cc,Causal,0.2477,0.160,0.0877
llama-3.2-3b,Meta,3.0,Dense Transformer,1.7-3.8B,mor_cc,Moral,0.1207,0.000,0.1207
llama-3.2-3b,Meta,3.0,Dense Transformer,1.7-3.8B,null_cc,Null,0.0071,0.700,-0.6929
llama-3.2-3b,Meta,3.0,Dense Transformer,1.7-3.8B,stp_cc,Spatial,0.2577,0.000,0.2577
llama-3.2-3b,Meta,3.0,Dense Transformer,1.7-3.8B,str_cc,Strategic,0.5185,0.220,0.2985
llama-3.2-3b,Meta,3.0,Dense Transformer,1.7-3.8B,tom_cc,ToM,0.2136,0.140,0.0736
mamba-2.8b,EleutherAI,2.8,Pure SSM,1.7-3.8B,ctr_cc,Causal,0.2361,0.160,0.0761
mamba-2.8b,EleutherAI,2.8,Pure SSM,1.7-3.8B,mor_cc,Moral,0.0110,0.000,0.0110
mamba-2.8b,EleutherAI,2.8,Pure SSM,1.7-3.8B,null_cc,Null,-0.0807,0.700,-0.7807
mamba-2.8b,EleutherAI,2.8,Pure SSM,1.7-3.8B,stp_cc,Spatial,0.1113,0.000,0.1113
mamba-2.8b,EleutherAI,2.8,Pure SSM,1.7-3.8B,str_cc,Strategic,0.3038,0.220,0.0838
mamba-2.8b,EleutherAI,2.8,Pure SSM,1.7-3.8B,tom_cc,ToM,0.0541,0.140,-0.0859
mistral-7b,Mistral,7.0,Dense Transformer,7-9B,ctr_cc,Causal,0.2269,0.160,0.0669
mistral-7b,Mistral,7.0,Dense Transformer,7-9B,mor_cc,Moral,0.1205,0.000,0.1205
mistral-7b,Mistral,7.0,Dense Transformer,7-9B,null_cc,Null,0.0118,0.700,-0.6882
mistral-7b,Mistral,7.0,Dense Transformer,7-9B,stp_cc,Spatial,0.2538,0.000,0.2538
mistral-7b,Mistral,7.0,Dense Transformer,7-9B,str_cc,Strategic,0.4827,0.220,0.2627
mistral-7b,Mistral,7.0,Dense Transformer,7-9B,tom_cc,ToM,0.2602,0.140,0.1202
mistral-7b-instruct-v0.2,Mistral,7.0,Dense Transformer (Instruct),7-9B,ctr_cc,Causal,0.1100,0.160,-0.0500
mistral-7b-instruct-v0.2,Mistral,7.0,Dense Transformer (Instruct),7-9B,mor_cc,Moral,-0.0020,0.000,-0.0020
mistral-7b-instruct-v0.2,Mistral,7.0,Dense Transformer (Instruct),7-9B,null_cc,Null,0.2588,0.700,-0.4412
mistral-7b-instruct-v0.2,Mistral,7.0,Dense Transformer (Instruct),7-9B,stp_cc,Spatial,0.2791,0.000,0.2791
mistral-7b-instruct-v0.2,Mistral,7.0,Dense Transformer (Instruct),7-9B,str_cc,Strategic,0.4248,0.220,0.2048
mistral-7b-instruct-v0.2,Mistral,7.0,Dense Transformer (Instruct),7-9B,tom_cc,ToM,0.0816,0.140,-0.0584
mistral-nemo-12b-base,Mistral,12.0,Dense Transformer,12-14B,ctr_cc,Causal,0.1427,0.160,-0.0173
mistral-nemo-12b-base,Mistral,12.0,Dense Transformer,12-14B,mor_cc,Moral,0.1041,0.000,0.1041
mistral-nemo-12b-base,Mistral,12.0,Dense Transformer,12-14B,null_cc,Null,-0.0521,0.700,-0.7521
mistral-nemo-12b-base,Mistral,12.0,Dense Transformer,12-14B,stp_cc,Spatial,0.1384,0.000,0.1384
mistral-nemo-12b-base,Mistral,12.0,Dense Transformer,12-14B,str_cc,Strategic,0.4750,0.220,0.2550
mistral-nemo-12b-base,Mistral,12.0,Dense Transformer,12-14B,tom_cc,ToM,0.2582,0.140,0.1182
olmo-2-13b,AI2,13.0,Dense Transformer,12-14B,ctr_cc,Causal,0.3778,0.160,0.2178
olmo-2-13b,AI2,13.0,Dense Transformer,12-14B,mor_cc,Moral,0.1396,0.000,0.1396
olmo-2-13b,AI2,13.0,Dense Transformer,12-14B,null_cc,Null,-0.0163,0.700,-0.7163
olmo-2-13b,AI2,13.0,Dense Transformer,12-14B,stp_cc,Spatial,0.1761,0.000,0.1761
olmo-2-13b,AI2,13.0,Dense Transformer,12-14B,str_cc,Strategic,0.3538,0.220,0.1338
olmo-2-13b,AI2,13.0,Dense Transformer,12-14B,tom_cc,ToM,0.0881,0.140,-0.0519
olmo-2-7b,AI2,7.0,Dense Transformer,7-9B,ctr_cc,Causal,0.3060,0.160,0.1460
olmo-2-7b,AI2,7.0,Dense Transformer,7-9B,mor_cc,Moral,0.2141,0.000,0.2141
olmo-2-7b,AI2,7.0,Dense Transformer,7-9B,null_cc,Null,0.2535,0.700,-0.4465
olmo-2-7b,AI2,7.0,Dense Transformer,7-9B,stp_cc,Spatial,0.1690,0.000,0.1690
olmo-2-7b,AI2,7.0,Dense Transformer,7-9B,str_cc,Strategic,0.3686,0.220,0.1486
olmo-2-7b,AI2,7.0,Dense Transformer,7-9B,tom_cc,ToM,0.0790,0.140,-0.0610
olmo-7b,AI2,7.0,Dense Transformer,7-9B,ctr_cc,Causal,0.2857,0.160,0.1257
olmo-7b,AI2,7.0,Dense Transformer,7-9B,mor_cc,Moral,0.1415,0.000,0.1415
